player_name,pitcher,events,p_throws,pitch_name,release_speed,hit_distance_sc,launch_speed,launch_angle,bat_score,post_bat_score,delta_run_exp
"Ohtani, Shohei",663465,triple,L,Cutter,87.4,272,100.2,12,5,6,1.6
"Ohtani, Shohei",518875,single,R,4-Seam Fastball,92.9,155,107.7,8,7,7,0.9
"Ohtani, Shohei",446321,single,L,Sinker,90.8,4,89.6,-21,9,9,0.9
"Ohtani, Shohei",446321,home_run,L,Cutter,88.3,431,105.1,23,5,7,2
"Ohtani, Shohei",605240,single,L,Cutter,86.9,194,63.2,24,2,2,0.9
"Ohtani, Shohei",608337,single,R,Changeup,81.8,8,66.1,-17,0,1,0.9
"Ohtani, Shohei",625643,single,R,Changeup,88.4,271,92.5,18,2,2,0.9
"Ohtani, Shohei",625643,double,R,4-Seam Fastball,98.2,383,108.9,19,0,0,1.25
"Ohtani, Shohei",502042,single,R,4-Seam Fastball,93.8,176,104.9,10,0,0,0.9
"Ohtani, Shohei",664129,single,R,4-Seam Fastball,97.4,52,109.9,0,4,4,0.9
"Ohtani, Shohei",592866,triple,R,Slider,83.6,254,81.1,33,3,4,1.6
"Ohtani, Shohei",592866,double,R,4-Seam Fastball,94,197,97,10,0,1,1.25
"Ohtani, Shohei",608717,single,R,Changeup,84.7,2,58,-32,2,2,0.9
"Ohtani, Shohei",488768,single,R,Changeup,86,243,75.7,22,1,3,0.9
"Ohtani, Shohei",598264,single,R,Knuckle Curve,86.4,134,94,7,3,3,0.9
"Ohtani, Shohei",488768,single,R,4-Seam Fastball,95.3,201,94.1,12,0,0,0.9
"Ohtani, Shohei",519144,double,R,Curveball,76.4,343,105.7,18,0,0,1.25
"Ohtani, Shohei",584171,single,R,Changeup,87.4,254,95.3,12,7,9,0.9
"Ohtani, Shohei",592644,double,R,4-Seam Fastball,90.8,257,89.2,18,0,0,1.25
"Ohtani, Shohei",424144,single,L,Sinker,92,20,69.2,-6,1,1,0.9
"Ohtani, Shohei",572403,single,R,Sinker,92.1,149,105.3,8,2,3,0.9
"Ohtani, Shohei",572403,single,R,4-Seam Fastball,94.6,62,87.6,2,2,2,0.9
"Ohtani, Shohei",572403,single,R,Sinker,92.8,30,103.4,-2,0,0,0.9
"Ohtani, Shohei",605156,home_run,R,Slider,83,441,107.1,24,4,5,2
"Ohtani, Shohei",592879,triple,R,4-Seam Fastball,91.8,230,91.1,19,0,0,1.6
"Ohtani, Shohei",628317,single,R,4-Seam Fastball,93.1,133,96.7,8,0,1,0.9
"Ohtani, Shohei",579328,double,L,4-Seam Fastball,92,380,100,24,5,5,1.25
"Ohtani, Shohei",657024,single,R,Slider,88.9,86,106.1,3,8,8,0.9
"Ohtani, Shohei",606273,single,L,4-Seam Fastball,95,237,110.9,10,6,6,0.9
"Ohtani, Shohei",543037,single,R,Slider,89.9,10,86,-7,1,1,0.9
"Ohtani, Shohei",501925,single,R,Sinker,87.4,11,99.1,-9,1,1,0.9
"Ohtani, Shohei",444468,single,R,4-Seam Fastball,96.1,94,72.1,7,0,1,0.9
"Ohtani, Shohei",606965,single,R,4-Seam Fastball,95.1,244,113.8,11,6,6,0.9
"Ohtani, Shohei",542914,single,R,Slider,86.9,8,97.3,-10,3,3,0.9
"Ohtani, Shohei",502190,single,R,Cutter,86.8,259,90.2,19,2,2,0.9
"Ohtani, Shohei",664353,home_run,R,4-Seam Fastball,91.3,397,106.3,34,2,4,2
"Ohtani, Shohei",543037,double,R,Knuckle Curve,84,20,96.1,-6,0,0,1.25
"Ohtani, Shohei",434378,home_run,R,4-Seam Fastball,94.9,423,107.5,32,2,3,2
"Ohtani, Shohei",458681,single,R,4-Seam Fastball,95.1,139,70.6,12,1,1,0.9
"Ohtani, Shohei",458681,single,R,Sinker,93.8,30,92.5,-3,1,1,0.9
"Ohtani, Shohei",642558,double,R,Sinker,91.2,377,105.1,20,5,5,1.25
"Ohtani, Shohei",570488,double,R,Sinker,92.6,342,98.7,23,6,6,1.25
"Ohtani, Shohei",657766,single,L,Slider,77.1,155,83.2,10,9,9,0.9
"Ohtani, Shohei",605135,home_run,R,Curveball,72.1,391,102.3,36,0,1,2
"Ohtani, Shohei",605156,home_run,R,Sinker,91.6,447,109.5,24,2,3,2
"Ohtani, Shohei",571666,single,R,4-Seam Fastball,91.1,16,91.8,-12,0,0,0.9
"Ohtani, Shohei",571666,single,R,Changeup,84,100,101.6,4,0,0,0.9
"Ohtani, Shohei",488748,double,L,4-Seam Fastball,92.8,241,110.3,9,1,1,1.25
"Ohtani, Shohei",664196,home_run,R,Sinker,91.6,406,104.7,22,2,4,2
"Ohtani, Shohei",543699,double,R,Slider,86,329,115.1,16,0,0,1.25
"Ohtani, Shohei",628452,single,R,4-Seam Fastball,94.5,239,94.2,16,1,1,0.9
"Ohtani, Shohei",543699,single,R,Curveball,76.9,276,104.8,14,0,0,0.9
"Ohtani, Shohei",641816,single,R,4-Seam Fastball,91.5,8,103.8,-22,4,4,0.9
"Ohtani, Shohei",643778,single,L,Changeup,77.5,142,105.5,7,1,1,0.9
"Ohtani, Shohei",592717,single,R,Changeup,88.2,1,64.5,-74,3,3,0.9
"Ohtani, Shohei",596101,double,R,Slider,85,149,97.5,6,7,7,1.25
"Ohtani, Shohei",429719,home_run,R,Changeup,87.1,375,99.6,29,4,7,2
"Ohtani, Shohei",592468,double,R,Slider,82.7,170,104.8,7,10,10,1.25
"Ohtani, Shohei",656222,single,L,Changeup,85.7,76,98.3,4,2,2,0.9
