overall_pick,games,points,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game
8,251,1685,0.384,0.27,0.735,6.7
9,1001,7990,0.469,0.152,0.728,8
10,413,4536,0.528,0.143,0.691,11
11,724,9994,0.448,0.355,0.873,13.8
12,757,5497,0.403,0.349,0.733,7.3
13,1094,8706,0.53,0,0.562,8
14,72,135,0.393,0,0.662,1.9
15,352,1958,0.403,0,0.686,5.6
16,700,7232,0.513,0.249,0.66,10.3
17,286,2542,0.518,0.286,0.634,8.9
18,126,417,0.401,0.2,0.859,3.3
19,183,1218,0.432,0.298,0.813,6.7
20,42,117,0.439,,0.525,2.8
21,508,5118,0.438,0.343,0.786,10.1
22,91,277,0.433,,0.613,3
23,300,2555,0.499,0,0.514,8.5
24,930,8966,0.45,0.349,0.77,9.6
25,,,,,,
26,127,332,0.443,0.154,0.722,2.6
27,584,2494,0.441,0.381,0.696,4.3
28,95,310,0.436,0.333,0.726,3.3
29,,,,,,
30,38,131,0.368,0.222,0.826,3.4
31,655,3148,0.417,0.2,0.691,4.8
32,2,6,1,,,3
33,249,1182,0.437,0.286,0.711,4.7
34,4,9,0.667,0.333,,2.3
35,122,1096,0.457,0.404,0.798,9
36,112,416,0.421,0.269,0.816,3.7
37,549,3449,0.459,0.359,0.783,6.3
38,,,,,,
39,78,331,0.407,0.34,0.772,4.2
40,499,2253,0.412,0.319,0.816,4.5
41,84,352,0.386,0.246,0.62,4.2
42,,,,,,
43,13,60,0.329,0.133,0.714,4.6
44,,,,,,
45,467,5153,0.443,0.39,0.738,11
46,102,1080,0.509,0.231,0.694,10.6
47,,,,,,
48,432,3285,0.446,0.176,0.67,7.6
49,168,761,0.396,0.361,0.743,4.5
50,,,,,,
51,247,1233,0.506,0,0.525,5
52,,,,,,
53,,,,,,
54,,,,,,
1,1207,28596,0.582,0.045,0.527,23.7
2,838,14311,0.527,0.247,0.692,17.1
3,868,11121,0.48,0.261,0.82,12.8
4,885,12690,0.428,0.365,0.825,14.3
5,624,7410,0.452,0.302,0.73,11.9
